Energy sigmaCC sigmaNC
111.237 36.4309 13.111
111.362 36.4725 13.1257
111.488 36.514 13.1404
111.613 36.5556 13.1551
111.738 36.5972 13.1698
111.863 36.6388 13.1845
111.988 36.6803 13.1991
112.113 36.7219 13.2138
112.238 36.7635 13.2285
112.363 36.8051 13.2432
112.488 36.8466 13.2579
112.614 36.8882 13.2726
112.739 36.9298 13.2873
112.864 36.9714 13.302
112.989 37.0129 13.3167
113.114 37.0545 13.3314
113.239 37.0961 13.3461
113.364 37.1377 13.3608
113.489 37.1792 13.3755
113.615 37.2208 13.3902
113.74 37.2624 13.4049
113.865 37.304 13.4196
113.99 37.3455 13.4343
114.115 37.3871 13.449
114.24 37.4287 13.4637
114.365 37.4702 13.4784
114.49 37.5118 13.4931
114.615 37.5534 13.5078
114.741 37.5949 13.5225
114.866 37.6365 13.5372
114.991 37.6781 13.5519
115.116 37.7196 13.5666
115.241 37.7612 13.5813
115.366 37.8028 13.596
115.491 37.8443 13.6107
115.616 37.8859 13.6254
115.741 37.9274 13.6401
115.867 37.969 13.6548
115.992 38.0106 13.6695
116.117 38.0521 13.6842
116.242 38.0937 13.6989
116.367 38.1352 13.7136
116.492 38.1768 13.7283
116.617 38.2184 13.743
116.742 38.2599 13.7577
116.868 38.3015 13.7724
116.993 38.343 13.7871
117.118 38.3846 13.8018
117.243 38.4261 13.8165
117.368 38.4677 13.8312
117.493 38.5093 13.8459
117.618 38.5508 13.8606
117.743 38.5924 13.8753
117.868 38.6339 13.89
117.994 38.6755 13.9047
118.119 38.717 13.9194
118.244 38.7586 13.9341
118.369 38.8002 13.9488
118.494 38.8417 13.9635
118.619 38.8833 13.9782
