Energy sigmaCC sigmaNC
56.9374 38.92 12.3762
57.0625 39.0041 12.4025
57.1876 39.0881 12.4289
57.3127 39.1722 12.4553
57.4378 39.2562 12.4817
57.563 39.3403 12.5081
57.6881 39.4243 12.5345
57.8132 39.5083 12.5609
57.9383 39.5924 12.5872
58.0634 39.6764 12.6136
58.1885 39.7604 12.64
58.3136 39.8444 12.6664
58.4388 39.9285 12.6928
58.5639 40.0125 12.7191
58.689 40.0965 12.7455
58.8141 40.1805 12.7719
58.9392 40.2646 12.7983
59.0643 40.3486 12.8246
59.1894 40.4326 12.851
59.3146 40.5166 12.8774
59.4397 40.6006 12.9037
59.5648 40.6846 12.9301
59.6899 40.7686 12.9565
59.815 40.8526 12.9828
59.9401 40.9366 13.0092
60.0653 41.0206 13.0355
60.1904 41.1046 13.0619
60.3155 41.1886 13.0883
60.4406 41.2725 13.1146
60.5657 41.3565 13.141
60.6908 41.4405 13.1673
60.8159 41.5245 13.1937
60.9411 41.6084 13.22
61.0662 41.6924 13.2464
61.1913 41.7764 13.2727
61.3164 41.8603 13.2991
61.4415 41.9443 13.3254
61.5666 42.0282 13.3518
61.6918 42.1122 13.3781
61.8169 42.1961 13.4045
61.942 42.2801 13.4308
62.0671 42.364 13.4572
62.1922 42.448 13.4835
62.3173 42.5319 13.5098
62.4424 42.6158 13.5362
62.5676 42.6998 13.5625
62.6927 42.7837 13.5889
62.8178 42.8676 13.6152
62.9429 42.9515 13.6415
63.068 43.0354 13.6679
63.1931 43.1194 13.6942
63.3182 43.2033 13.7206
63.4434 43.2872 13.7469
63.5685 43.3711 13.7732
63.6936 43.455 13.7996
63.8187 43.5389 13.8259
63.9438 43.6228 13.8522
64.0689 43.7067 13.8786
64.1941 43.7906 13.9049
64.3192 43.8745 13.9312
64.4443 43.9584 13.9575
64.5694 44.0423 13.9839
64.6945 44.1261 14.0102
64.8196 44.21 14.0365
64.9447 44.2939 14.0628
65.0699 44.3778 14.0892
65.195 44.4617 14.1155
65.3201 44.5455 14.1418
65.4452 44.6294 14.1681
65.5703 44.7133 14.1945
65.6954 44.7971 14.2208
65.8206 44.881 14.2471
65.9457 44.9649 14.2735
66.0708 45.0487 14.2998
66.1959 45.1326 14.3261
66.321 45.2165 14.3525
66.4461 45.3003 14.3788
66.5712 45.3842 14.4052
66.6964 45.468 14.4315
66.8215 45.5519 14.4579
66.9466 45.6357 14.4842
67.0717 45.7196 14.5105
67.1968 45.8034 14.5369
67.3219 45.8872 14.5632
67.447 45.9711 14.5895
67.5722 46.0549 14.6158
67.6973 46.1387 14.6421
67.8224 46.2226 14.6685
67.9475 46.3064 14.6948
68.0726 46.3902 14.7211
68.1977 46.474 14.7474
68.3229 46.5578 14.7737
68.448 46.6417 14.8
68.5731 46.7255 14.8263
68.6982 46.8093 14.8525
68.8233 46.8931 14.8788
68.9484 46.9768 14.9051
69.0735 47.0606 14.9314
69.1987 47.1444 14.9577
69.3238 47.2282 14.984
69.4489 47.312 15.0102
69.574 47.3958 15.0365
69.6991 47.4795 15.0628
69.8242 47.5633 15.0891
69.9493 47.6471 15.1154
70.0745 47.7309 15.1417
70.1996 47.8146 15.1679
70.3247 47.8984 15.1942
70.4498 47.9822 15.2205
70.5749 48.0659 15.2468
70.7 48.1497 15.2731
70.8252 48.2334 15.2994
70.9503 48.3172 15.3257
71.0754 48.4009 15.3519
71.2005 48.4846 15.3782
71.3256 48.5684 15.4045
71.4507 48.6521 15.4307
71.5758 48.7358 15.457
71.701 48.8195 15.4832
71.8261 48.9032 15.5095
71.9512 48.987 15.5357
72.0763 49.0707 15.5619
72.2014 49.1544 15.5882
72.3265 49.2381 15.6144
72.4517 49.3218 15.6406
72.5768 49.4055 15.6668
72.7019 49.4892 15.693
72.827 49.5729 15.7193
72.9521 49.6566 15.7455
73.0772 49.7402 15.7717
73.2023 49.8239 15.7979
73.3275 49.9077 15.8242
73.4526 49.9914 15.8504
73.5777 50.0751 15.8766
73.7028 50.1588 15.9029
73.8279 50.2425 15.9291
73.953 50.3262 15.9553
74.0781 50.4099 15.9816
74.2033 50.4936 16.0078
74.3284 50.5772 16.0341
74.4535 50.6609 16.0603
74.5786 50.7445 16.0866
74.7037 50.8281 16.1128
74.8288 50.9117 16.139
74.954 50.9952 16.1653
