Energy sigmaCC sigmaNC
112.113 75.6072 23.7538
112.238 75.6902 23.7796
112.363 75.7732 23.8054
112.488 75.8562 23.8312
112.614 75.9391 23.857
112.739 76.0221 23.8828
112.864 76.1051 23.9087
112.989 76.1881 23.9345
113.114 76.2711 23.9603
113.239 76.354 23.9861
113.364 76.437 24.0119
113.489 76.52 24.0377
113.615 76.6029 24.0635
113.74 76.6859 24.0893
113.865 76.7689 24.1151
113.99 76.8518 24.1409
114.115 76.9348 24.1667
114.24 77.0177 24.1925
114.365 77.1007 24.2184
114.49 77.1836 24.2442
114.615 77.2666 24.27
114.741 77.3495 24.2958
114.866 77.4325 24.3216
114.991 77.5154 24.3474
115.116 77.5983 24.3732
115.241 77.6812 24.399
115.366 77.7642 24.4248
115.491 77.8471 24.4506
115.616 77.93 24.4763
115.741 78.0129 24.5021
115.867 78.0958 24.5279
115.992 78.1787 24.5537
116.117 78.2616 24.5795
116.242 78.3445 24.6053
116.367 78.4274 24.6311
116.492 78.5103 24.6569
116.617 78.5931 24.6827
116.742 78.676 24.7085
116.868 78.7589 24.7343
116.993 78.8417 24.7601
117.118 78.9246 24.7858
117.243 79.0074 24.8116
117.368 79.0903 24.8374
117.493 79.1731 24.8632
117.618 79.2559 24.889
117.743 79.3388 24.9148
117.868 79.4216 24.9405
117.994 79.5044 24.9663
118.119 79.5872 24.9921
118.244 79.67 25.0179
118.369 79.7528 25.0437
118.494 79.8356 25.0694
118.619 79.9184 25.0952
118.744 80.0012 25.121
118.869 80.084 25.1468
118.994 80.1668 25.1725
