,energy,nu,nubar,tau,taubar,nc,ncbar
134,16.7754,11.7983,5.50784,4.001362831154415,2.1145487869254387,3.83536,2.06138
135,16.9005,11.883,5.54741,4.066641601409772,2.141530366153387,3.86229,2.07586
136,17.0257,11.9678,5.58699,4.1319725529363165,2.1683399002558437,3.88921,2.09034
137,17.1508,12.0526,5.62658,4.197251323191674,2.190744429144539,3.91613,2.10482
138,17.2759,12.1374,5.66619,4.262530093447031,2.213148958033235,3.94304,2.1193
139,17.401,12.2222,5.70581,4.318634684681114,2.2355534869219307,3.96995,2.13379
140,17.5261,12.307,5.74544,4.369944395861899,2.2579580158106265,3.99685,2.14827
141,17.6512,12.3918,5.78509,4.421254107042685,2.280362544699322,4.02375,2.16275
142,17.7763,12.4766,5.82475,4.47256381822347,2.3027670735880177,4.05064,2.17723
143,17.9015,12.5614,5.86442,4.523914544361235,2.3251895117723875,4.07752,2.19171
144,18.0266,12.6462,5.90411,4.575224255542021,2.3475940406610833,4.1044,2.20618
145,18.1517,12.731,5.94381,4.626533966722808,2.375774479829342,4.13127,2.22066
146,18.2768,12.8159,5.98351,4.6823124026799485,2.4046954448475883,4.15814,2.23514
147,18.4019,12.9007,6.02322,4.739946481875722,2.433616409865835,4.18501,2.24963
148,18.527,12.9855,6.06294,4.797580561071497,2.4625373748840813,4.21187,2.26411
149,18.6522,13.0703,6.10267,4.855260710674302,2.4914814581797207,4.23873,2.27859
150,18.7773,13.155,6.1424,4.9128947898700766,2.520402423197967,4.2656,2.29308
151,18.9024,13.2398,6.18214,4.97052886906585,2.5491958738176432,4.29246,2.30757
152,19.0275,13.3246,6.22188,5.028162948261625,2.5745246949397687,4.31933,2.32207
153,19.1526,13.4094,6.26164,5.085797027457399,2.599853516061894,4.3462,2.33656
154,19.2777,13.4942,6.30139,5.133850927363938,2.625182337184019,4.37306,2.35106
155,19.4028,13.579,6.34115,5.175462851364946,2.6505111583061445,4.39993,2.36557
156,19.528,13.6638,6.38092,5.217108038294811,2.67586022628768,4.4268,2.38007
157,19.6531,13.7486,6.42069,5.258719962295819,2.7011890474098053,4.45367,2.39457
158,19.7782,13.8335,6.46047,5.300331886296826,2.7265178685319302,4.48053,2.40908
159,19.9033,13.9183,6.50025,5.341943810297835,2.751846689654056,4.5074,2.42359
160,20.0284,14.0031,6.54004,5.3835557342988425,2.7789649702391155,4.53425,2.43809
161,20.1535,14.0879,6.57984,5.42516765829985,2.8075280193249865,4.56111,2.45259
162,20.2786,14.1727,6.61965,5.479508470840639,2.8360910684108576,4.58795,2.4671
163,20.4038,14.2575,6.65946,5.547190102889949,2.864676949670258,4.6148,2.48159
164,20.5289,14.3424,6.69928,5.614817676127717,2.893239998756129,4.64163,2.49609
165,20.654,14.4272,6.73911,5.682445249365485,2.921803047842,4.66845,2.51058
166,20.7791,14.512,6.77895,5.750072822603253,2.950366096927871,4.69527,2.52507
167,20.9042,14.5968,6.81879,5.817700395841022,2.9789291460137415,4.72209,2.53956
168,21.0293,14.6816,6.85864,5.88532796907879,3.007485780846006,4.74891,2.55406
169,21.1545,14.7664,6.8985,5.953009601128098,3.036055506518502,4.77571,2.56855
170,21.2796,14.8512,6.93837,6.015762956820259,3.064602412921291,4.80251,2.58303
171,21.4047,14.936,6.97824,6.070611475741439,3.0931493193240804,4.82929,2.5975
172,21.5298,15.0208,7.01812,6.125459994662619,3.12169622572687,4.85606,2.61196
173,21.6549,15.1056,7.05801,6.180308513583799,3.1502431321296593,4.88282,2.62642
174,21.78,15.1904,7.0979,6.235157032504978,3.1787900385324486,4.90959,2.64089
175,21.9051,15.2752,7.1378,6.290005551426158,3.207336944935238,4.93637,2.65537
176,22.0303,15.3599,7.1777,6.344897914087482,3.2365713671224894,4.96316,2.66987
177,22.1554,15.4447,7.21761,6.399746433008661,3.2662875343413615,4.98996,2.68437
178,22.2805,15.5295,7.25752,6.454594951929841,3.2960037015602333,5.01675,2.69887
179,22.4056,15.6142,7.29743,6.50944347085102,3.325719868779105,5.04352,2.71336
180,22.5307,15.699,7.33735,6.564291989772199,3.3554360359979767,5.07029,2.72785
181,22.6558,15.7837,7.37727,6.620801537543203,3.3851522032168484,5.09706,2.74233
182,22.781,15.8685,7.4172,6.680108796527174,3.4148921243663506,5.12383,2.75683
183,22.9061,15.9532,7.45713,6.739368685495981,3.4446082915852223,5.15062,2.77133
184,23.0312,16.0379,7.49706,6.798628574464788,3.4743244588040945,5.17741,2.78585
185,23.1563,16.1227,7.53701,6.857888463433596,3.5044693278606442,5.2042,2.80037
186,23.2814,16.2074,7.57695,6.917148352402404,3.5351739102428583,5.23098,2.81488
187,23.4065,16.2922,7.61691,6.976408241371211,3.5658784926250724,5.25777,2.8294
188,23.5316,16.3769,7.65687,7.035668130340018,3.5965830750072865,5.28454,2.84391
189,23.6568,16.4617,7.69685,7.094975389323989,3.627312201420182,5.31132,2.85842
190,23.7819,16.5465,7.73683,7.154613819886883,3.6580167838023963,5.33809,2.87293
191,23.907,16.6313,7.77682,7.217309239489694,3.6887213661846103,5.36486,2.88743
192,24.0321,16.7161,7.81682,7.280004659092505,3.7194259485668244,5.39162,2.90194
193,24.1572,16.8009,7.85684,7.342700078695316,3.7501305309490385,5.41838,2.91644
194,24.2823,16.8858,7.89686,7.405395498298127,3.7740886832116285,5.44513,2.93094
195,24.4074,16.9706,7.9369,7.468090917900938,3.797703077175051,5.47189,2.94544
196,24.5326,17.0555,7.97695,7.530836453746436,3.821336347552513,5.49863,2.95993
197,24.6577,17.1403,8.017,7.593531873349247,3.8449507415159356,5.52538,2.97443
198,24.7828,17.2252,8.05707,7.649498906113375,3.868565135479359,5.55213,2.98894
199,24.9079,17.3101,8.09714,7.700609158088155,3.8921795294427817,5.57889,3.00344
200,25.033,17.3949,8.13722,7.751719410062936,3.9157939234062042,5.60564,3.01796
201,25.1581,17.4798,8.1773,7.802829662037716,3.939408317369627,5.63239,3.03247
