Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering SKFluxNormalization_Below1GeV SKFluxNormalization_Above1GeV ICFluxNormalization_Above1GeV X2 
0.304 0.022 0.37166666666666665 7.42e-05 0.00215 4.014 normal 0.9741016175841771 0.9915379695625804 0.9945460492835618 147.5564247801625
0.304 0.022 0.37166666666666665 7.42e-05 0.0022 4.014 normal 0.9757861967693018 0.9917337398795631 0.9951227767559734 124.45490389413685
0.304 0.022 0.37166666666666665 7.42e-05 0.00255 4.014 normal 0.982652728943522 0.9947461533072522 0.9970316086889218 36.51593763869014
0.304 0.022 0.37166666666666665 7.42e-05 0.0022500000000000003 4.014 normal 0.9759085383428961 0.9922274001448678 0.9953451898199268 103.38347673545456
0.304 0.022 0.37166666666666665 7.42e-05 0.0025 4.014 normal 0.9820438571971812 0.9941495052579399 0.9965306863195083 33.95834980974249
0.304 0.022 0.37166666666666665 7.42e-05 0.00245 4.014 normal 0.980722095666005 0.9938283580670502 0.995959095198908 39.08654315779629
0.304 0.022 0.37166666666666665 7.42e-05 0.0023 4.014 normal 0.9774720261590196 0.9926662964983856 0.9953848716442545 83.99268306807693
0.304 0.022 0.37166666666666665 7.42e-05 0.00235 4.014 normal 0.9783033800471889 0.9930649216721397 0.9954003487173579 66.43763639184652
0.304 0.022 0.37166666666666665 7.42e-05 0.0024000000000000002 4.014 normal 0.9795075406136592 0.9934556002738483 0.9955599133580877 50.57526039571503
0.304 0.022 0.37166666666666665 7.42e-05 0.00295 4.014 normal 0.9934395617378806 0.9958009668230479 0.9990170345137419 160.93665911917844
0.304 0.022 0.37166666666666665 7.42e-05 0.0026 4.014 normal 0.9839169874601748 0.9954742944538859 0.9973196000864394 44.95462752225027
0.304 0.022 0.37166666666666665 7.42e-05 0.00285 4.014 normal 0.9884014736340578 0.9968562317131691 0.998332257080552 122.66725989518176
0.304 0.022 0.37166666666666665 7.42e-05 0.0029000000000000002 4.014 normal 0.9897705625257618 0.9972675281641338 0.9985822802470571 141.1105179257997
0.304 0.022 0.37166666666666665 7.42e-05 0.0028 4.014 normal 0.9876142860085401 0.9963186207955819 0.9980360983311257 105.99490304115628
0.304 0.022 0.37166666666666665 7.42e-05 0.00275 4.014 normal 0.9863370275914716 0.9961053233533936 0.9977405109750003 89.19531848978679
0.304 0.022 0.37166666666666665 7.42e-05 0.00265 4.014 normal 0.9844492432602231 0.9959698871961647 0.9974068006316054 57.577755193512665
0.304 0.022 0.37166666666666665 7.42e-05 0.0027 4.014 normal 0.9856518268876465 0.9960278210013439 0.9974750054962236 72.66255555755596
