Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization X2 
0.304 0.022 0.42166666666666663 7.42e-05 0.0026 4.014 normal 1.0026792968107736 26.120007045608677
0.304 0.022 0.42166666666666663 7.42e-05 0.00245 4.014 normal 1.001050594426586 17.81352162138087
0.304 0.022 0.42166666666666663 7.42e-05 0.00255 4.014 normal 1.0022538425143326 16.85028108180681
0.304 0.022 0.42166666666666663 7.42e-05 0.0029000000000000002 4.014 normal 1.0044545152078963 128.37999700101489
0.304 0.022 0.42166666666666663 7.42e-05 0.00265 4.014 normal 1.002854408649105 39.11008586915323
0.304 0.022 0.42166666666666663 7.42e-05 0.0027 4.014 normal 1.003013661906788 54.56086760101818
0.304 0.022 0.42166666666666663 7.42e-05 0.003 4.014 normal 1.0049781603645338 170.53988747742983
0.304 0.022 0.42166666666666663 7.42e-05 0.00275 4.014 normal 1.0032832178148408 71.90703908534996
0.304 0.022 0.42166666666666663 7.42e-05 0.00295 4.014 normal 1.0047391945931172 148.8211622185254
0.304 0.022 0.42166666666666663 7.42e-05 0.0028 4.014 normal 1.0036933496512224 90.29170308563963
0.304 0.022 0.42166666666666663 7.42e-05 0.00285 4.014 normal 1.0040853183004195 108.68772681856072
0.304 0.022 0.43833333333333335 7.42e-05 0.0021 4.014 normal 0.9994040091322155 162.25691294284093
0.304 0.022 0.43833333333333335 7.42e-05 0.00215 4.014 normal 1.0003307421939172 132.89788340740657
0.304 0.022 0.43833333333333335 7.42e-05 0.0023 4.014 normal 1.0014725191637879 64.49692341065997
0.304 0.022 0.43833333333333335 7.42e-05 0.00205 4.014 normal 0.998995218341279 199.13302531332567
0.304 0.022 0.43833333333333335 7.42e-05 0.002 4.014 normal 0.9987115812298654 241.01947968174068
0.304 0.022 0.43833333333333335 7.42e-05 0.0022 4.014 normal 1.0009733530646263 108.747187684719
0.304 0.022 0.43833333333333335 7.42e-05 0.00235 4.014 normal 1.0016263827734375 44.66063208890174
0.304 0.022 0.43833333333333335 7.42e-05 0.0022500000000000003 4.014 normal 1.0012496135490139 86.26857831397753
0.304 0.022 0.43833333333333335 7.42e-05 0.0024000000000000002 4.014 normal 1.0019004923882195 27.36959562151274
0.304 0.022 0.43833333333333335 7.42e-05 0.00245 4.014 normal 1.0023953364238833 15.557248244772325
0.304 0.022 0.43833333333333335 7.42e-05 0.00275 4.014 normal 1.0046711609430714 71.00311744230193
0.304 0.022 0.43833333333333335 7.42e-05 0.0026 4.014 normal 1.004050044779865 24.681798400552573
0.304 0.022 0.43833333333333335 7.42e-05 0.00265 4.014 normal 1.0042292875678391 37.80324391580595
0.304 0.022 0.43833333333333335 7.42e-05 0.0027 4.014 normal 1.0043961390748697 53.42323912880034
0.304 0.022 0.43833333333333335 7.42e-05 0.0025 4.014 normal 1.003033868417263 11.261810531192872
0.304 0.022 0.43833333333333335 7.42e-05 0.00255 4.014 normal 1.0036143070621026 15.096560149706296
0.304 0.022 0.45499999999999996 7.42e-05 0.002 4.014 normal 0.9994305177540497 241.3738873934978
0.304 0.022 0.45499999999999996 7.42e-05 0.0021 4.014 normal 1.0005229844316474 161.94518610094528
0.304 0.022 0.45499999999999996 7.42e-05 0.00205 4.014 normal 0.9998438593963539 199.06113718920568
0.304 0.022 0.43833333333333335 7.42e-05 0.0029000000000000002 4.014 normal 1.005860920401133 128.6733716697277
0.304 0.022 0.43833333333333335 7.42e-05 0.003 4.014 normal 1.0063994371918963 171.3984413908927
0.304 0.022 0.43833333333333335 7.42e-05 0.00285 4.014 normal 1.0054870937789042 108.63273014911786
0.304 0.022 0.43833333333333335 7.42e-05 0.0028 4.014 normal 1.0050858457903675 89.80471627632107
0.304 0.022 0.43833333333333335 7.42e-05 0.00295 4.014 normal 1.0061538750839645 149.3813217429166
0.304 0.022 0.45499999999999996 7.42e-05 0.00215 4.014 normal 1.0012224193971786 132.4693062137162
0.304 0.022 0.45499999999999996 7.42e-05 0.0022500000000000003 4.014 normal 1.002180506764965 85.582838901378
0.304 0.022 0.45499999999999996 7.42e-05 0.0023 4.014 normal 1.0024107001318476 63.62978313588868
0.304 0.022 0.45499999999999996 7.42e-05 0.0024000000000000002 4.014 normal 1.002847492848083 26.151803137954303
0.304 0.022 0.45499999999999996 7.42e-05 0.0022 4.014 normal 1.001901853480135 108.2896828820725
0.304 0.022 0.45499999999999996 7.42e-05 0.00235 4.014 normal 1.0025690376075123 43.56668322409975
0.304 0.022 0.45499999999999996 7.42e-05 0.00245 4.014 normal 1.003356501396106 14.421228121735906
0.304 0.022 0.45499999999999996 7.42e-05 0.0025 4.014 normal 1.0040010928466605 10.271994992257
0.304 0.022 0.45499999999999996 7.42e-05 0.00265 4.014 normal 1.0052175024115722 37.39034575793316
0.304 0.022 0.45499999999999996 7.42e-05 0.0027 4.014 normal 1.0053953738637724 53.139398493972976
0.304 0.022 0.45499999999999996 7.42e-05 0.0029000000000000002 4.014 normal 1.0068746426941708 129.47611661966707
0.304 0.022 0.45499999999999996 7.42e-05 0.00275 4.014 normal 1.005669656728175 70.8778374211668
0.304 0.022 0.45499999999999996 7.42e-05 0.00285 4.014 normal 1.0064978492555037 109.15923014021773
0.304 0.022 0.45499999999999996 7.42e-05 0.0028 4.014 normal 1.006092914198892 90.01195165751186
0.304 0.022 0.45499999999999996 7.42e-05 0.00255 4.014 normal 1.0045844938250952 14.328834287404392
0.304 0.022 0.45499999999999996 7.42e-05 0.0026 4.014 normal 1.0050327626341689 24.162524694721814
0.304 0.022 0.4716666666666667 7.42e-05 0.00205 4.014 normal 1.0004457490302634 198.9090071438694
0.304 0.022 0.4716666666666667 7.42e-05 0.002 4.014 normal 1.0001259541547265 241.5193760147214
0.304 0.022 0.4716666666666667 7.42e-05 0.0022500000000000003 4.014 normal 1.0027339052572064 85.00351113439095
0.304 0.022 0.4716666666666667 7.42e-05 0.0021 4.014 normal 1.0010221269525896 161.6440212099802
0.304 0.022 0.4716666666666667 7.42e-05 0.0022 4.014 normal 1.0024523095017985 107.85955714120031
0.304 0.022 0.45499999999999996 7.42e-05 0.00295 4.014 normal 1.0071710470223745 150.41372138186625
0.304 0.022 0.4716666666666667 7.42e-05 0.00215 4.014 normal 1.0017663192761728 132.0377105844262
0.304 0.022 0.45499999999999996 7.42e-05 0.003 4.014 normal 1.0074261058456981 172.701282750745
0.304 0.022 0.4716666666666667 7.42e-05 0.0023 4.014 normal 1.0029692956950713 62.940857032886036
0.304 0.022 0.4716666666666667 7.42e-05 0.00235 4.014 normal 1.0031344896581178 42.73232482271993
0.304 0.022 0.4716666666666667 7.42e-05 0.0024000000000000002 4.014 normal 1.003418947934919 25.273534246042367
0.304 0.022 0.4716666666666667 7.42e-05 0.0026 4.014 normal 1.005628578059637 23.782194996461993
0.304 0.022 0.4716666666666667 7.42e-05 0.00265 4.014 normal 1.005816128362079 37.066108017578316
0.304 0.022 0.4716666666666667 7.42e-05 0.00245 4.014 normal 1.0039321183933059 13.5837425895877
0.304 0.022 0.4716666666666667 7.42e-05 0.00255 4.014 normal 1.005169591484087 13.782519056490573
0.304 0.022 0.4716666666666667 7.42e-05 0.0025 4.014 normal 1.0045853963283926 9.563060312460362
0.304 0.022 0.4883333333333333 7.42e-05 0.002 4.014 normal 1.0002855239863402 240.98066483622108
0.304 0.022 0.4716666666666667 7.42e-05 0.0027 4.014 normal 1.0059964816398161 52.90846029934032
0.304 0.022 0.4716666666666667 7.42e-05 0.00275 4.014 normal 1.0062774916145036 70.75929405230004
0.304 0.022 0.4716666666666667 7.42e-05 0.00295 4.014 normal 1.0077956688830367 151.0872217855566
0.304 0.022 0.4716666666666667 7.42e-05 0.0029000000000000002 4.014 normal 1.0074956845491894 129.98200437384776
0.304 0.022 0.4716666666666667 7.42e-05 0.00285 4.014 normal 1.0071163372853957 109.4860285481121
0.304 0.022 0.4716666666666667 7.42e-05 0.0028 4.014 normal 1.0067067704576895 90.05543681681392
0.304 0.022 0.4716666666666667 7.42e-05 0.003 4.014 normal 1.0080607412591829 173.6148501362195
0.304 0.022 0.4883333333333333 7.42e-05 0.00205 4.014 normal 1.0006099667728647 198.21367242139124
0.304 0.022 0.4883333333333333 7.42e-05 0.0024000000000000002 4.014 normal 1.0036150079354034 24.196013009691587
0.304 0.022 0.4883333333333333 7.42e-05 0.0021 4.014 normal 1.0011804171491938 160.87656086294936
0.304 0.022 0.4883333333333333 7.42e-05 0.00215 4.014 normal 1.00193068186303 131.17242717689834
0.304 0.022 0.4883333333333333 7.42e-05 0.0022 4.014 normal 1.0026259220761504 106.94505880185791
0.304 0.022 0.4883333333333333 7.42e-05 0.0023 4.014 normal 1.0031488018043047 61.922414287939205
0.304 0.022 0.4883333333333333 7.42e-05 0.0022500000000000003 4.014 normal 1.0029082488264467 84.04081747607977
0.304 0.022 0.4883333333333333 7.42e-05 0.00235 4.014 normal 1.0033204258311974 41.657970187930424
0.304 0.022 0.4883333333333333 7.42e-05 0.0028 4.014 normal 1.0069302564536744 89.46097541282123
0.304 0.022 0.4883333333333333 7.42e-05 0.00275 4.014 normal 1.0064959636045736 70.08121040858279
0.304 0.022 0.4883333333333333 7.42e-05 0.0027 4.014 normal 1.0062124713012508 52.19692304192529
0.304 0.022 0.4883333333333333 7.42e-05 0.00245 4.014 normal 1.0041241074607279 12.544807372966282
0.304 0.022 0.4883333333333333 7.42e-05 0.00255 4.014 normal 1.0053712322600248 12.918121528350913
0.304 0.022 0.4883333333333333 7.42e-05 0.00265 4.014 normal 1.006028888250622 36.306685141793345
0.304 0.022 0.4883333333333333 7.42e-05 0.0025 4.014 normal 1.0047866672878771 8.607343591683678
0.304 0.022 0.4883333333333333 7.42e-05 0.0026 4.014 normal 1.0058365811456118 22.99827389455612
0.304 0.022 0.505 7.42e-05 0.00205 4.014 normal 1.0003797405083645 196.68635487046492
0.304 0.022 0.505 7.42e-05 0.002 4.014 normal 1.0000496886396577 239.51099402671068
0.304 0.022 0.505 7.42e-05 0.0021 4.014 normal 1.0009687699730065 159.34389102477365
0.304 0.022 0.4883333333333333 7.42e-05 0.00295 4.014 normal 1.0080290289831026 150.8974433718599
0.304 0.022 0.505 7.42e-05 0.00215 4.014 normal 1.001724972623538 129.53682100474848
0.304 0.022 0.4883333333333333 7.42e-05 0.00285 4.014 normal 1.00734185401432 109.00878270112159
0.304 0.022 0.4883333333333333 7.42e-05 0.0029000000000000002 4.014 normal 1.0077244257175906 129.6415965380856
0.304 0.022 0.4883333333333333 7.42e-05 0.003 4.014 normal 1.0082995480176804 173.54926848887544
0.304 0.022 0.505 7.42e-05 0.0022 4.014 normal 1.002422129767919 105.29311554827484
0.304 0.022 0.505 7.42e-05 0.00235 4.014 normal 1.0031281975727955 40.07812024870695
0.304 0.022 0.505 7.42e-05 0.0022500000000000003 4.014 normal 1.0027074981613422 82.43145304842889
0.304 0.022 0.505 7.42e-05 0.0023 4.014 normal 1.0029508837937773 60.31511766093532
0.304 0.022 0.505 7.42e-05 0.0024000000000000002 4.014 normal 1.0034265942707377 22.664244979377187
0.304 0.022 0.505 7.42e-05 0.0025 4.014 normal 1.004585475007512 7.06415816692582
0.304 0.022 0.505 7.42e-05 0.00245 4.014 normal 1.003935459529947 11.035085567372896
0.304 0.022 0.505 7.42e-05 0.00255 4.014 normal 1.0051897963283145 11.46729599480598
0.304 0.022 0.505 7.42e-05 0.00285 4.014 normal 1.007176430488435 107.45947861892242
