Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown ORCAEnergyScale ShowerClassification TrackClassification IntermediateClassification XSecNuTau NCoverCC NCHad DIS CCQE CCQENuBarNu CCQEMuE CC1Pi_Pi0Pi CC1Pi_NuBarNuE CC1Pi_NuBarNuMu CC1PiProduction CohPiProduction AxialMass X2 
0.304 0.022 0.34711 0.0000742 0.0023000 4.140 normal 1.0 1.0060712564580119 -0.011066711099996454 1.0136469537451627 0.9878626564139925 -0.1709716898591275 -0.03435768281792624 1.0 0.9667841607003103 1.007171836701333 1.0618852586466618 0.9993815446151855 0.9431663451477067 0.9450693907455567 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1721184310217498 856.67
0.304 0.022 0.34711 0.0000742 0.0023500 4.140 normal 1.0 0.9945450696922848 -0.018592129594356813 1.0124383265811892 1.005437151549605 -0.2059858882513476 -0.04018878747071276 1.0 0.9497151208947642 0.993687572936043 1.0682189360276073 0.9929557540122069 1.0139666388587236 1.0179699426969864 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1661626890022607 596.39
0.304 0.022 0.34711 0.0000742 0.0026000 4.140 normal 1.0 0.9963635080349441 -0.0066672756728458436 1.0151501690204987 1.0078202269329335 -0.14608438544632454 -0.032533835822486645 1.0 0.9574911421139846 0.9957327009113784 1.0575401953067698 0.9624103490274521 1.0246783913890203 1.024168964177439 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1261367228149128 326.43
0.304 0.022 0.34711 0.0000742 0.0025000 4.140 normal 1.0 0.9931419520238965 -0.012596448908371787 1.0082249194390416 1.007161733053031 -0.17301936398821938 -0.03167091999617912 1.0 0.9557202831354759 0.9968104808195615 1.0665696612913798 0.9749681389251703 1.031627839254369 1.0309720254075323 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.1389457245172423 184.81
0.304 0.022 0.34711 0.0000742 0.0024000 4.140 normal 1.0 0.9917477944374096 -0.01929869845689869 1.0110805228455857 1.0051781201326122 -0.19663049032054344 -0.0313553922666307 1.0 0.9503157714813618 0.9939329069893329 1.070662644239323 0.9969357780945147 1.0317756203480586 1.0301254686855001 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.151924165448243 370.52
0.304 0.022 0.34711 0.0000742 0.0026500 4.140 normal 1.0 0.9945381107565378 -0.005914499339529761 1.006533370067786 1.0077785243754824 0.05495682188855398 -0.029637004362186536 1.0 0.9652921974448041 1.0034754422169074 1.065250930694655 0.9708102647480268 1.0209938261273641 1.0205614215739152 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0253566856180223 403.88
0.304 0.022 0.34711 0.0000742 0.0024500 4.140 normal 1.0 0.9944479799812985 -0.015911584519106337 1.0096212914766205 1.0065861948813004 -0.022910635164080255 -0.03355690252367482 1.0 0.9521914166239352 0.9943207645531122 1.0703013771813703 0.9883988798388561 1.0349810383400455 1.0342540593332825 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0585490631701155 221.49
0.304 0.022 0.34711 0.0000742 0.0025500 4.140 normal 1.0 0.9964887794505982 -0.008908651347198817 1.0076642202512616 1.0076175385665804 -0.03662338949316157 -0.03386516403533068 1.0 0.958225641728376 0.9978872466414405 1.0654880733205219 0.9719793448484173 1.0282394631455851 1.027655217816355 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0378126547941706 230.75
0.304 0.022 0.36816 0.0000742 0.0020000 4.140 normal 1.0 1.0175976459479175 0.003269571013839243 1.0078197615583664 0.9933932379665581 -0.18066297852424903 -0.014550748206577821 1.0 0.9738542698951544 1.0049117120780626 1.063370305101816 0.9691045877258613 0.900710543769647 0.9114859353273101 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.2048822704590614 1350.95
0.304 0.022 0.34711 0.0000742 0.0029000 4.140 normal 1.0 0.9975689081522636 -0.013585141319438826 1.0058943278107615 0.9903937987218595 -0.028933164185256616 -0.033047643214676264 1.0 0.9654877507936972 1.005864269300527 1.0516424610500625 1.009318337367055 1.0022708629804302 1.002224611115676 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0992176364969142 1070.20
