Sin2Theta12 Sin2Theta13 Sin2Theta23 Dm221 Dm231 dCP Ordering FluxNormalization_Below1GeV FluxNormalization_Above1GeV FluxTilt NuNuBarRatio FlavorRatio ZenithFluxUp ZenithFluxDown X2 
0.304 0.022 0.41026 0.0000742 0.0025000 2.644 normal 0.9987711581581968 1.0009403689431662 -0.002857703066117722 1.0025922702888665 0.9970951047492963 0.008263785326904102 -0.022168722193867074 6.34
0.304 0.022 0.41026 0.0000742 0.0025000 1.983 normal 1.0013289596529922 1.0039986559739775 -0.002436010776355799 1.0024341317624827 0.9873660117796358 0.0058440915314738155 -0.02334480026203741 6.78
0.304 0.022 0.41026 0.0000742 0.0025000 2.314 normal 0.9995706949886967 1.0022250778817579 -0.002802849003843184 1.0026917685285632 0.9922941653892856 0.007016821857809355 -0.022460346472345516 6.42
0.304 0.022 0.41026 0.0000742 0.0025000 3.636 normal 0.9988585060542403 0.9997870432101953 -0.004003067403729052 1.0016282259432894 0.9980302955136766 0.010595243405441828 -0.023826917138162065 5.27
0.304 0.022 0.41026 0.0000742 0.0025000 3.305 normal 0.9987830378150137 0.9999767121598064 -0.0036764861848094174 1.0017988307480366 0.9985709791848485 0.010179689285015468 -0.023382523874728018 5.44
0.304 0.022 0.41026 0.0000742 0.0025000 1.653 normal 1.0039367991931825 1.005596499821781 -0.0017857603309047439 1.0034598080776087 0.9828315128383548 0.004931284956272185 -0.024985314138620957 7.42
0.304 0.022 0.41026 0.0000742 0.0025000 4.297 normal 0.9985891224670231 0.9996842728414619 -0.0038504518172267415 1.0019104699669992 0.9985199747202478 0.010314604099963428 -0.02256335472342183 5.91
0.304 0.022 0.41026 0.0000742 0.0025000 5.619 normal 1.0005276105242111 1.0028480434403193 -0.00323099297367848 1.003012243067652 0.9879423329840767 0.007643165965198832 -0.02407542483081167 8.90
0.304 0.022 0.41026 0.0000742 0.0025000 4.958 normal 0.9978897527014472 1.0001223506191093 -0.0034618525797166606 1.0026540252801293 0.9975014523078415 0.009133009121147496 -0.021159444023288405 7.70
0.304 0.022 0.41026 0.0000742 0.0025000 3.966 normal 0.9997294300740899 1.000378440101609 -0.0037639969165748927 1.000856559423951 0.9980095267914193 0.010618926903419786 -0.023721948599275032 5.42
0.304 0.022 0.41026 0.0000742 0.0025000 5.288 normal 0.9984985914145038 1.0012483735437054 -0.0035822280926409472 1.0028088729482698 0.9928163527610626 0.008410470672810512 -0.022148798325302792 8.23
0.304 0.022 0.41026 0.0000742 0.0025000 4.627 normal 0.9978103307915102 0.9995348385530612 -0.0036535135299105136 1.002007442659582 0.9994925989615837 0.009788535926809002 -0.021515131235760123 6.88
0.304 0.022 0.41026 0.0000742 0.0025000 5.949 normal 1.0031700147131233 1.0044293155465762 -0.002630363974073699 1.004148916303696 0.9834087963885627 0.006845383804016675 -0.02573899947567018 9.58
0.304 0.022 0.41026 0.0000742 0.0025000 6.280 normal 1.0050407649216706 1.0063124385935982 -0.0020697831175264447 1.0047414246945872 0.9796845427679627 0.0057799668246237106 -0.02617260056964726 10.05
0.304 0.022 0.43132 0.0000742 0.0025000 1.983 normal 1.0002277445126972 1.0029764146023552 -0.000413421779994072 1.0055039912638397 0.9856893606476301 -0.005484153851080392 -0.013976843187206503 3.66
0.304 0.022 0.43132 0.0000742 0.0025000 0.992 normal 1.0016327451293927 1.0019820682607303 -0.00031116691987560574 1.0028884382966938 0.9800240757493823 -0.00033614078197312017 -0.0002957436253502519 6.97
0.304 0.022 0.43132 0.0000742 0.0025000 0.331 normal 1.0011419851421501 1.0021863619180695 -0.00018649279767151707 1.0039337639991315 0.9798043835459321 -0.002873315597695543 -0.0029101747782509157 7.78
0.304 0.022 0.43132 0.0000742 0.0025000 1.322 normal 1.0013913690934801 1.0021335340092705 -0.00024665030952948923 1.003162470189489 0.9815299780619348 -0.0007490150740306456 -0.0012739683942714947 5.95
0.304 0.022 0.43132 0.0000742 0.0025000 0.000 normal 1.0005422819317695 1.0024568526460615 -3.1212734945450274e-05 1.0049508093415234 0.98097889880877 -0.005133468032515101 -0.007652442999143474 7.35
0.304 0.022 0.43132 0.0000742 0.0025000 1.653 normal 1.0008032745265711 1.0024753280351562 -9.213455207932438e-05 1.0040595828570478 0.9834814328852025 -0.002511870348458709 -0.00638514649501438 4.80
0.304 0.022 0.43132 0.0000742 0.0025000 0.661 normal 1.0015312979039588 1.0020135682050901 -0.0002864068077293182 1.003192034891471 0.9795120322405713 -0.0011503567831437573 -5.1222808121977964e-05 7.67
0.304 0.022 0.43132 0.0000742 0.0025000 2.314 normal 1.002255950524899 1.0026136030297386 -0.0012336318991191667 1.0019213467238304 0.990674670003291 0.0030735727999887407 -0.012916389365596302 3.08
0.304 0.022 0.43132 0.0000742 0.0025000 4.627 normal 0.997200323514005 0.9985593429561477 -0.0027088654654434394 1.001580608506263 0.9999486052069367 0.0057436850478383705 -0.009285685325924123 3.65
0.304 0.022 0.43132 0.0000742 0.0025000 2.975 normal 0.9981693991089488 0.9991592123162838 -0.0022745037327538075 1.0014865786951972 0.9997125065731304 0.005522033659445536 -0.011281449822142756 3.04
0.304 0.022 0.43132 0.0000742 0.0025000 2.644 normal 0.9992392189367792 1.000520320347123 -0.0020697269112777868 1.0013987000627897 0.9955268780895082 0.004376312166612004 -0.011731565606966046 2.97
0.304 0.022 0.43132 0.0000742 0.0025000 3.305 normal 0.998675262991423 0.999104538367203 -0.0027004307646904644 1.0007037720725769 0.9990731428948194 0.006336049293115041 -0.012793780426840528 2.72
0.304 0.022 0.43132 0.0000742 0.0025000 4.958 normal 0.9987196994838874 0.9998927314207179 -0.002363879673061349 1.0021117606460415 0.9958764553163764 0.004360473896592547 -0.010279304672972936 3.90
0.304 0.022 0.43132 0.0000742 0.0025000 4.297 normal 0.9979346673187013 0.9987858156925866 -0.003032229317726071 1.000737410577844 0.9990285076856971 0.0063451565185170455 -0.010549009395856348 3.05
