SqT23 DM31 X2
0.40911 0.00243 50.023
0.40911 0.00244 39.5395
0.40911 0.00245 30.303
0.40911 0.00246 22.6946
0.40911 0.00247 16.8274
0.40911 0.00248 12.5786
0.40911 0.00249 9.67188
0.40911 0.0025 7.78784
0.40911 0.00251 6.67589
0.40911 0.00252 6.23848
0.40911 0.00253 6.56704
0.40911 0.00254 7.9196
0.40911 0.00255 10.6448
0.40911 0.00256 15.07
0.40911 0.00257 21.3804
0.40911 0.00258 29.5212
0.40911 0.00259 39.1463
0.40911 0.0026 49.6334
0.40911 0.00261 60.1625
0.40911 0.00262 69.8472
0.40911 0.00263 77.8888
0.40911 0.00264 83.7218
0.40911 0.00265 87.1172
0.40911 0.00266 88.2203
0.40911 0.00267 87.5144
0.40911 0.00268 85.7186
0.40911 0.00269 83.6411
0.40911 0.0027 82.0236
0.40911 0.00271 81.409
0.40911 0.00272 82.0628
0.40911 0.00273 83.9624
0.40911 0.00274 86.8541
0.40911 0.00275 90.3612
0.40911 0.00276 94.1125
0.40911 0.00277 97.8602
0.40911 0.00278 101.556
0.40911 0.00279 105.369
0.416988 0.0023 105.532
0.416988 0.00231 102.771
0.416988 0.00232 101.343
0.416988 0.00233 101.043
0.416988 0.00234 101.391
0.416988 0.00235 101.702
0.416988 0.00236 101.208
0.416988 0.00237 99.1983
0.416988 0.00238 95.1635
0.416988 0.00239 88.8928
0.416988 0.0024 80.5203
0.416988 0.00241 70.5031
0.416988 0.00242 59.537
0.416988 0.00243 48.431
0.416988 0.00244 37.9649
0.416988 0.00245 28.7624
0.416988 0.00246 21.2051
0.416988 0.00247 15.4035
0.416988 0.00248 11.23
0.416988 0.00249 8.40165
0.416988 0.0025 6.59261
0.416988 0.00251 5.54698
0.416988 0.00252 5.16421
0.416988 0.00253 5.53551
0.416988 0.00254 6.92144
0.416988 0.00255 9.67507
0.416988 0.00256 14.1289
0.416988 0.00257 20.4727
0.416988 0.00258 28.6543
0.416988 0.00259 38.3278
0.416988 0.0026 48.8679
0.416988 0.00261 59.45
0.416988 0.00262 69.1817
0.416988 0.00263 77.2588
0.416988 0.00264 83.1122
0.416988 0.00265 86.5121
0.416988 0.00266 87.6062
0.416988 0.00267 86.8831
0.416988 0.00268 85.0689
0.416988 0.00269 82.9796
0.416988 0.0027 81.363
0.416988 0.00271 80.766
0.416988 0.00272 81.4542
0.416988 0.00273 83.4024
0.416988 0.00274 86.3516
0.416988 0.00275 89.9183
0.416988 0.00276 93.725
0.416988 0.00277 97.5193
0.416988 0.00278 101.251
0.416988 0.00279 105.091
0.424887 0.0023 104.751
0.424887 0.00231 101.934
0.424887 0.00232 100.464
0.424887 0.00233 100.137
0.424887 0.00234 100.473
0.424887 0.00235 100.785
0.424887 0.00236 100.297
0.424887 0.00237 98.2964
0.424887 0.00238 94.2675
0.424887 0.00239 87.9977
0.424887 0.0024 79.6216
0.424887 0.00241 69.5988
0.424887 0.00242 58.6297
0.424887 0.00243 47.5285
0.424887 0.00244 37.0793
0.424887 0.00245 27.9088
0.424887 0.00246 20.3989
0.424887 0.00247 14.6578
0.424887 0.00248 10.5535
0.424887 0.00249 7.79724
0.424887 0.0025 6.05722
0.424887 0.00251 5.07271
0.424887 0.00252 4.7404
0.424887 0.00253 5.15125
0.424887 0.00254 6.56805
0.424887 0.00255 9.34785
0.424887 0.00256 13.8278
0.424887 0.00257 20.2019
0.424887 0.00258 28.4203
0.424887 0.00259 38.1373
0.424887 0.0026 48.7252
0.424887 0.00261 59.3551
0.424887 0.00262 69.1292
0.424887 0.00263 77.2385
0.424887 0.00264 83.1105
0.424887 0.00265 86.5146
0.424887 0.00266 87.6007
0.424887 0.00267 86.8622
0.424887 0.00268 85.0316
0.424887 0.00269 82.9317
0.424887 0.0027 81.3161
0.424887 0.00271 80.7349
0.424887 0.00272 81.4544
0.424887 0.00273 83.4468
0.424887 0.00274 86.4482
0.424887 0.00275 90.0691
0.424887 0.00276 93.9263
0.424887 0.00277 97.7631
0.424887 0.00278 101.528
0.424887 0.00279 105.391
0.432806 0.0023 104.465
0.432806 0.00231 101.597
0.432806 0.00232 100.088
0.432806 0.00233 99.7378
0.432806 0.00234 100.064
0.432806 0.00235 100.376
0.432806 0.00236 99.8951
0.432806 0.00237 97.9029
0.432806 0.00238 93.8804
0.432806 0.00239 87.6126
0.432806 0.0024 79.2344
0.432806 0.00241 69.2078
0.432806 0.00242 58.2373
0.432806 0.00243 47.1414
0.432806 0.00244 36.7083
0.432806 0.00245 27.5674
0.432806 0.00246 20.1007
0.432806 0.00247 14.4147
0.432806 0.00248 10.3732
0.432806 0.00249 7.68232
0.432806 0.0025 6.00499
0.432806 0.00251 5.07611
0.432806 0.00252 4.7898
0.432806 0.00253 5.2368
0.432806 0.00254 6.68179
0.432806 0.00255 9.48539
0.432806 0.00256 13.9889
0.432806 0.00257 20.3901
0.432806 0.00258 28.6413
0.432806 0.00259 38.3969
0.432806 0.0026 49.0273
0.432806 0.00261 59.6997
0.432806 0.00262 69.5116
0.432806 0.00263 77.6496
0.432806 0.00264 83.5384
0.432806 0.00265 86.9464
0.432806 0.00266 88.0255
0.432806 0.00267 87.2734
0.432806 0.00268 85.4283
0.432806 0.00269 83.3189
0.432806 0.0027 81.7041
